peId,peMonth,peDay,pePday,peType,peDesc,peReading,peDisplay,peIndex,peFlag
1190,5,25,999,Vespers,"",Comp_8001_8003,"Composite 8 - Isaiah 40, 41, 45, 48, 54",4,0
1191,5,25,999,Vespers,"",Comp_9001_9003,"Composite 9 - Malachi 3, 4",5,0
1192,5,25,999,Vespers,"",Comp_3001_3003,"Composite 3 - Wisdom 4, 5",6,0
1193,5,25,999,Matins Gospel,"",Luke_7017_7030,Luke 7:17-30,29,0
1194,5,25,999,Epistle,Forerunner,2Cor_4006_4015,2 Corinthians 4:6-15,36,0
1195,5,25,999,Gospel,Forerunner,Matt_11002_11015,Matthew 11:2-15,37,0
1196,6,19,999,Vespers,"",Jude_1001_1010,Jude 1-10,4,0
1197,6,19,999,Vespers,"",Jude_1011_1016,Jude 11-16,5,0
1198,6,19,999,Vespers,"",Jude_1017_1025,Jude 17-25,6,0
1199,6,19,999,Epistle,Apostle,Jude_1001_1010,Jude 1-10,36,0
1200,6,19,999,Gospel,Apostle,John_14021_14024,John 14:21-24,37,0
1201,6,24,999,Vespers,"",Comp_10001_10005,"Composite 10 - Genesis 17:15-17, 19; 18:11-14; 21:1-8",4,0
1202,6,24,999,Vespers,"",Comp_11001_11004,"Composite 11 - Judges 13:2-8, 13-14, 17-18, 21",5,0
1203,6,24,999,Vespers,"",Comp_8001_8003,"Composite 8 - Isaiah 40, 41, 45, 48, 54",6,0
1204,6,24,999,Matins Gospel,"",Luke_1024_1025|Luke_1057_1068|Luke_1076_1076|Luke_1080_1080,"Luke 1:24-25, 57-68, 76, 80",29,0
1205,6,24,999,Epistle,Forerunner,Rom_13011_14004,Romans 13:11-14:4,36,0
1206,6,24,999,Gospel,Forerunner,Luke_1001_1025|Luke_1057_1068|Luke_1076_1076|Luke_1080_1080,"Luke 1:1-25, 57-68, 76, 80",37,0
1207,6,29,999,Vespers,"",1Peter_1003_1009,1 Peter 1:3-9,4,0
1208,6,29,999,Vespers,"",1Peter_1013_1019,1 Peter 1:13-19,5,0
1209,6,29,999,Vespers,"",1Peter_2011_2024,1 Peter 2:11-24,6,0
1210,6,29,999,Matins Gospel,"",John_21015_21025,John 21:15-25,29,0
1211,6,29,999,Epistle,Apostles,2Cor_11021_12009,2 Corinthians 11:21-12:9,36,0
1212,6,29,999,Gospel,Apostles,Matt_16013_16019,Matthew 16:13-19,37,0
1213,6,30,999,Epistle,Apostles,1Cor_4009_4016,1 Corinthians 4:9-16,36,0
1214,6,30,999,Gospel,Apostles,Mark_3013_3019,Mark 3:13-19,37,0
1215,7,5,999,Vespers,Sergius,Comp_2001_2004,"Composite 2 - Proverbs 10, 3, 8",4,0
1216,7,5,999,Vespers,Sergius,Prov_10031_11012,Proverbs 10:31-11:12,5,0
1217,7,5,999,Vespers,Sergius,Wis_3001_3009,Wisdom of Solomon 3:1-9,6,0
1218,7,5,999,Vespers,Athanasius,Wis_3001_3009,Wisdom of Solomon 3:1-9,4,0
1219,7,5,999,Vespers,Athanasius,Wis_5015_6003,Wisdom of Solomon 5:15-6:3,5,0
1220,7,5,999,Vespers,Athanasius,Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1221,7,5,999,Matins Gospel,either Saint,Matt_11027_11030,Matthew 11:27-30,29,0
1222,7,5,999,Epistle,either Saint,Gal_5022_6002,Galatians 5:22-6:2,36,0
1223,7,5,999,Gospel,either Saint,Luke_6017_6023,Luke 6:17-23,37,0
1224,7,10,999,Vespers,"",Wis_3001_3009,Wisdom of Solomon 3:1-9,4,0
1225,7,10,999,Vespers,"",Wis_5015_6003,Wisdom of Solomon 5:15-6:3,5,0
1226,7,10,999,Vespers,"",Wis_4007_4015,Wisdom of Solomon 4:7-15,6,0
1227,7,10,999,Matins Gospel,"",Matt_11027_11030,Matthew 11:27-30,29,0
1228,7,10,999,Epistle,Saint,Gal_5022_6002,Galatians 5:22-6:2,36,0
1229,7,10,999,Gospel,Saint,Matt_4025_5012,Matthew 4:25-5:12,37,0
